Nume,Varsta,Inaltime,Pozitie,Picior,Aparitii,Goluri,Assisturi,Tara,Echipa,Market_Value,URL
Lionel Andrés Messi Cuccitini,37.0,170.0,Attack - Right Winger,left,928.0,753,360,Argentina  Spain,Miami,€20.00m,https://www.transfermarkt.com/lionel-messi/profil/spieler/28003
Thibaut Nicolas Marc Courtois,32.0,200.0,Goalkeeper,left,633.0,-,21,Belgium,Real Madrid,€25.00m,https://www.transfermarkt.com/thibaut-courtois/profil/spieler/108390
Лунін Андрій Олексійович,26.0,191.0,Goalkeeper,right,150.0,-,7,Ukraine,Real Madrid,€20.00m,https://www.transfermarkt.com/andriy-lunin/profil/spieler/404839
Francisco Javier González Pérez,19.0,199.0,Goalkeeper,right,22.0,-,-,Spain,RM Castilla,€400k,https://www.transfermarkt.com/fran-gonzalez/profil/spieler/1055220
Éder Gabriel Militão,27.0,186.0,Defender - Centre-Back,right,276.0,21,12,Brazil  Spain,Real Madrid,€40.00m,https://www.transfermarkt.com/eder-militao/profil/spieler/401530
Cristiano Ronaldo,40.0,188.0,Attack - Centre-Forward,right,1052.0,792,242,Portugal,Al-Nassr,€12.00m,https://www.transfermarkt.com/cristiano-ronaldo/profil/spieler/8198
Florinel Teodor Coman,27.0,182.0,Attack - Left Winger,right,320.0,82,82,Romania,Cagliari,€6.00m,https://www.transfermarkt.com/florinel-coman/profil/spieler/340982
Marc,33.0,187.0,Goalkeeper,right,621.0,-,21,Germany,Barcelona,€15.00m,https://www.transfermarkt.com/marc-andre-ter-stegen/profil/spieler/74857
Ignacio Peña Sotorres,26.0,184.0,Goalkeeper,right,125.0,-,11,Spain,Barcelona,€10.00m,https://www.transfermarkt.com/inaki-pena/profil/spieler/283170
Wojciech Tomasz Szczęsny,35.0,195.0,Goalkeeper,right,578.0,-,22,Poland,Barcelona,€1.00m,https://www.transfermarkt.com/wojciech-szczesny/profil/spieler/44058
Pau Cubarsí Paredes,18.0,184.0,Defender - Centre-Back,right,91.0,1,5,Spain,Barcelona,€70.00m,https://www.transfermarkt.com/pau-cubarsi/profil/spieler/962110
Eric García Martret,24.0,182.0,Defender - Centre-Back,right,,,,Spain,Barcelona,€15.00m,https://www.transfermarkt.com/eric-garcia/profil/spieler/466794
Gerard Martín Langreo,23.0,186.0,Defender - Left-Back,left,,,,Spain,Barcelona,€7.50m,https://www.transfermarkt.com/gerard-martin/profil/spieler/705395
Lionel Andrés Messi Cuccitini,37.0,170.0,Attack - Right Winger,left,932.0,755,360,Argentina  Spain,Miami,€20.00m,https://www.transfermarkt.com/lionel-messi/profil/spieler/28003
Marc,33,187,Goalkeeper,right,621,-,21,Germany,Barcelona,€15.00m,https://www.transfermarkt.com/marc-andre-ter-stegen/profil/spieler/74857
Ignacio Peña Sotorres,26,184,Goalkeeper,right,126,-,11,Spain,Barcelona,€10.00m,https://www.transfermarkt.com/inaki-pena/profil/spieler/283170
Wojciech Tomasz Szczęsny,35,195,Goalkeeper,right,578,-,22,Poland,Barcelona,€1.00m,https://www.transfermarkt.com/wojciech-szczesny/profil/spieler/44058
Pau Cubarsí Paredes,18,184,Defender - Centre-Back,right,92,1,5,Spain,Barcelona,€70.00m,https://www.transfermarkt.com/pau-cubarsi/profil/spieler/962110
Ronald Federico Araujo da Silva,26,192,Defender - Centre-Back,right,267,23,12,Uruguay  Spain,Barcelona,€50.00m,https://www.transfermarkt.com/ronald-araujo/profil/spieler/480267
,,,,,,,,,,,https://www.transfermarkt.com/andreas-christensen/profil/spieler/196948
Eric García Martret,24,182,Defender - Centre-Back,right,,,,Spain,Barcelona,€15.00m,https://www.transfermarkt.com/eric-garcia/profil/spieler/466794
,,,,,,,,,,,https://www.transfermarkt.com/inigo-martinez/profil/spieler/158863
Alejandro Balde Martínez,21,175,Defender - Left-Back,left,,,,Spain  Dominican Republic,Barcelona,€60.00m,https://www.transfermarkt.com/alejandro-balde/profil/spieler/636688
,,,,,,,,,,,https://www.transfermarkt.com/gerard-martin/profil/spieler/705395
